#yr,mo,dy,hr,mn,deg,T m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2017,1,3,9,50,74,7.7,9.2,2.29,12.12,6.27,354,1013.1,25.6,26.9,19.9,99,99
2017,1,3,10,50,71,7.5,9.4,2.22,12.12,6.4,342,1013.4,25.9,26.9,20.2,99,99
2017,1,3,11,50,70,7.7,9.3,2.06,12.12,6.18,7,1014.1,26,26.9,20,99,99
2017,1,3,12,50,71,8.1,9.8,2.19,11.43,6.16,344,1014.4,26,26.9,20.1,99,99
2017,1,3,13,50,69,7.8,9,2.1,12.12,6.21,337,1014.3,26,26.9,19.9,99,99
2017,1,3,14,50,68,8.2,9.4,2.07,12.12,6.24,6,1013.8,25.8,27,19.9,99,99
2017,1,3,15,50,65,8.2,10,2.2,11.43,6.39,355,1013.3,25.8,27,19.5,99,99
2017,1,3,16,50,71,7.5,9.4,2.24,10.81,6.3,341,1012.5,25.9,27,20.1,99,99
2017,1,3,17,50,69,7,8.1,2.23,11.43,6.71,344,1012.1,25.9,27,20.3,99,99
2017,1,3,18,50,71,6.7,8.1,2.09,11.43,6.5,354,1011.9,26,27,20.3,99,99
2017,1,3,19,50,63,7.4,8.9,2.12,11.43,6.63,344,1011.9,26,27,20.4,99,99
2017,1,3,20,50,57,7,8.3,1.9,11.43,6.29,349,1012.4,25.9,26.9,20.2,99,99
2017,1,3,21,50,62,7.2,8.5,1.96,11.43,6.57,5,1012.8,25.8,26.9,20.3,99,99
2017,1,3,22,50,68,7.7,9.7,2.25,10.81,6.71,2,1013.4,25.9,26.9,20.3,99,99
2017,1,3,23,50,66,7.4,8.5,2.11,11.43,6.53,357,1013.8,25.9,26.9,20.2,99,99
2017,1,4,0,50,60,7.3,8.6,2.09,11.43,6.39,5,1014.4,25.9,26.9,20.7,99,99
2017,1,4,1,50,72,7.2,8.7,2.17,10.81,6.62,342,1014.6,26,26.9,20.7,99,99
2017,1,4,2,50,64,7.8,9,1.94,11.43,6.23,359,1014.6,25.9,26.9,20.5,99,99
2017,1,4,3,50,69,8.3,9.8,1.97,11.43,6.28,10,1014.5,25.7,26.9,20.6,99,99
2017,1,4,4,50,73,7.5,8.8,1.87,10.81,5.87,350,1014.3,25.8,26.9,20.6,99,99
2017,1,4,5,50,67,7.9,9.7,2.11,8.33,6.26,62,1013.7,25.8,26.9,20.7,99,99
2017,1,4,6,50,77,7.8,9,2.18,10.81,6.34,360,1013.2,25.8,26.9,20.6,99,99
2017,1,4,7,50,68,8.5,10.1,2.11,11.43,6.19,353,1012.8,25.8,26.9,20.5,99,99
2017,1,4,8,50,68,9.1,10.4,1.97,10.81,6.03,2,1012.8,25.8,26.9,20.7,99,99
2017,1,4,9,50,72,8.4,9.5,2.15,10.81,6.03,358,1013.3,26,26.9,20.6,99,99
